headword,pos,CEFR,CoreInventory 1,CoreInventory 2,Threshold
a,determiner,A1,,,
a.m.,adverb,A1,,,
A.M.,adverb,A1,,,
about,adverb,A1,,,
about,preposition,A1,,,
above,adverb,A1,,,
above,preposition,A1,,,
action,noun,A1,,,
activity,noun,A1,Leisure activities,,"Free time, entertainment"
actor,noun,A1,Work and jobs,Film,Personal identification
add,verb,A1,,,
address,noun,A1,Personal information,,Personal identification
aeroplane,noun,A1,Ways of travelling,,Travel
afraid,adjective,A1,,,
after,preposition,A1,,,
afternoon,noun,A1,,,
again,adverb,A1,,,
age,noun,A1,Personal information,,Personal identification
ago,adverb,A1,,,
agree,verb,A1,,,
airplane,noun,A1,Ways of travelling,,Travel
airport,noun,A1,Travel and services vocab,"Things in the town, shops and shopping",Travel
album,noun,A1,Objects and rooms,,Daily life
all,determiner,A1,,,
all,pronoun,A1,,,
all right,adjective,A1,,,
all right,adverb,A1,,,
almost,adverb,A1,,,
alone,adverb,A1,,,
along,adverb,A1,,,
already,adverb,A1,,,
also,adverb,A1,,,
always,adverb,A1,,,
am,adverb,A1,,,
AM,adverb,A1,,,
am,be-verb,A1,,,
an,determiner,A1,,,
and,conjunction,A1,,,
angry,adjective,A1,,,
animal,noun,A1,,,
another,determiner,A1,,,
answer,noun,A1,,,
answer,verb,A1,,,
any,determiner,A1,,,
any,pronoun,A1,,,
anybody,pronoun,A1,,,
anyone,pronoun,A1,,,
anything,pronoun,A1,,,
apple,noun,A1,Food and drink,,Food and drink
April,noun,A1,,,
apron,noun,A1,Objects and rooms,,Shopping
are,be-verb,A1,,,
arm,noun,A1,Personal information,,Health and body care
around,preposition,A1,,,
arrive,verb,A1,,,
art,noun,A1,Hobbies and pastimes,Education,"Free time, entertainment"
article,noun,A1,Shopping,,"Free time, entertainment"
as,preposition,A1,,,
ask,verb,A1,,,
at,preposition,A1,,,
August,noun,A1,,,
aunt,noun,A1,Family life,,Personal identification
autumn,noun,A1,,,
awake,adjective,A1,,,
away,adverb,A1,,,
baby,noun,A1,Family life,,Personal identification
back,adverb,A1,,,
back,noun,A1,,,Health and body care
bad,adjective,A1,,,
bag,noun,A1,Shopping,Clothes,Shopping
ball,noun,A1,Hobbies and pastimes,,"Free time, entertainment"
banana,noun,A1,Food and drink,,Food and drink
band,noun,A1,Clothes,,Shopping
bank,noun,A1,"Things in the town, shops and shopping",,Services
bar,noun,A1,"Things in the town, shops and shopping",,Food and drink
baseball,noun,A1,Hobbies and pastimes,,"Free time, entertainment"
basketball,noun,A1,Hobbies and pastimes,,"Free time, entertainment"
bat,noun,A1,,,"Free time, entertainment"
