headword,pos,CEFR,CoreInventory 1,CoreInventory 2,Threshold
abandoned,adjective,B2,,,
abnormally,adverb,B2,,,
abolish,verb,B2,,,
aboriginal,adjective,B2,,,
abruptly,adverb,B2,,,
absentee,noun,B2,,,
absurd,adjective,B2,,,
abuse,noun,B2,"News, lifestyles and current affairs",,
access,verb,B2,,,
accessibility,noun,B2,,,
accommodation,noun,B2,Travel and services vocab,,Travel
accordingly,adverb,B2,,,
accumulate,verb,B2,,,
accusation,noun,B2,"News, lifestyles and current affairs",,
ache,verb,B2,,,
achievable,adjective,B2,,,
acid,noun,B2,,,
acquisition,noun,B2,Education,,
actively,adverb,B2,,,
actual,adjective,B2,,,
acute,adjective,B2,,,
adaptable,adjective,B2,,,
addict,noun,B2,"News, lifestyles and current affairs",,
addicted,adjective,B2,,,
addiction,noun,B2,"News, lifestyles and current affairs",,
additionally,adverb,B2,,,
adequate,adjective,B2,,,
adequately,adverb,B2,,,
adjustment,noun,B2,,,
administrative,adjective,B2,,,
admirable,adjective,B2,,,
admiringly,adverb,B2,,,
admittedly,adverb,B2,,,
adopted,adjective,B2,,,
adoption,noun,B2,,,
adore,verb,B2,,,
adorn,verb,B2,,,
advance,noun,B2,,,
advancement,noun,B2,,,
advent,noun,B2,Books and literature,,
adventurous,adjective,B2,,,
adverse,adjective,B2,,,
adversely,adverb,B2,,,
adversity,noun,B2,,,
affectionate,adjective,B2,,,
affectionately,adverb,B2,,,
affordable,adjective,B2,,,
ageless,adjective,B2,,,
aggressively,adverb,B2,,,
agonise,verb,B2,,,
agonize,verb,B2,,,
agony,noun,B2,Books and literature,,
aim,verb,B2,,,
aircraft,noun,B2,,,
aircrew,noun,B2,Work and jobs,,Personal identification
alcoholic,noun,B2,"News, lifestyles and current affairs",,Food and drink
alcoholism,noun,B2,"News, lifestyles and current affairs",,
alert,verb,B2,,,
allegation,noun,B2,,,
alliance,noun,B2,"News, lifestyles and current affairs",,
ally,noun,B2,"News, lifestyles and current affairs",,
alongside,preposition,B2,,,
alphabetical,adjective,B2,,,
altar,noun,B2,Books and literature,,
alter,verb,B2,,,
alternate,verb,B2,,,
alternatively,adverb,B2,,,
altitude,noun,B2,,,
aluminium,noun,B2,Education,,
aluminum,noun,B2,Education,,
amaze,verb,B2,,,
amazement,noun,B2,,,
amazingly,adverb,B2,,,
ambassador,noun,B2,"News, lifestyles and current affairs",,
ambiguity,noun,B2,,,
ambiguous,adjective,B2,,,
ammonia,noun,B2,Education,,
amongst,preposition,B2,,,
ample,adjective,B2,,,
amplifier,noun,B2,,,
amplify,verb,B2,,,
amuse,verb,B2,,,
analogy,noun,B2,,,
analyst,noun,B2,,,Personal identification
anchor,noun,B2,,,
anchorage,noun,B2,,,
anchorman,noun,B2,Hobbies and pastimes,,"Free time, entertainment"
anchorperson,noun,B2,Hobbies and pastimes,,"Free time, entertainment"
anguish,noun,B2,,,
animate,verb,B2,,,
anonymous,adjective,B2,,,
antiaircraft,adjective,B2,,,
antibacterial,adjective,B2,,,
anticancer,noun,B2,Travel and services vocab,,Health and body care
anticipate,verb,B2,,,
anticipation,noun,B2,,,
antipollution,noun,B2,"News, lifestyles and current affairs",,
antique,adjective,B2,,,
antistatic,adjective,B2,,,
antivirus,noun,B2,Travel and services vocab,,Health and body care
apostrophe,noun,B2,,,Language
appeal,verb,B2,,,
applicant,noun,B2,Education,,
appreciative,adjective,B2,,,
approach,verb,B2,,,
appropriately,adverb,B2,,,
approximate,adjective,B2,,,
arch,noun,B2,"Things in the town, shops and shopping",,"House and home, environment"
archaeologist,noun,B2,Work and jobs,,Personal identification
archeologist,noun,B2,Work and jobs,,Personal identification
arctic,adjective,B2,,,
arena,noun,B2,"Things in the town, shops and shopping",Leisure activities,"House and home, environment"
aristocracy,noun,B2,,,
armful,noun,B2,Idiomatic expressions,,
arouse,verb,B2,,,
arrogant,adjective,B2,,,
artery,noun,B2,,,
articulate,verb,B2,,,
artificially,adverb,B2,,,
artistry,noun,B2,Arts,,"Free time, entertainment"
ash,noun,B2,,,
aspiration,noun,B2,,,
aspire,verb,B2,,,
assault,noun,B2,"News, lifestyles and current affairs",,
assemble,verb,B2,,,
assembly,noun,B2,Education,Leisure activities,
assert,verb,B2,,,
assess,verb,B2,,,
assessment,noun,B2,Education,,
assumption,noun,B2,,,
assurance,noun,B2,,,
assure,verb,B2,,,
astonish,verb,B2,,,
astonished,adjective,B2,,,
astonishing,adjective,B2,,,
astonishment,noun,B2,,,
astronomy,noun,B2,Education,,
athletics,noun,B2,Leisure activities,Hobbies and pastimes,"Free time, entertainment"
attached,adjective,B2,,,
attainable,adjective,B2,,,
attainment,noun,B2,,,
attendance,noun,B2,,,
attentive,adjective,B2,,,
attentively,adverb,B2,,,
attractiveness,noun,B2,,,
attribute,noun,B2,,,
attribute,verb,B2,,,
atypical,adjective,B2,,,
aubergine,noun,B2,,,Food and drink
audit,noun,B2,Work and jobs,,Personal identification
audition,noun,B2,,,
authorise,verb,B2,,,
authoritative,adjective,B2,,,
authorize,verb,B2,,,
availability,noun,B2,,,
await,verb,B2,,,
awe,noun,B2,,,
ax,noun,B2,Objects and rooms,,Shopping
axe,noun,B2,Objects and rooms,,Shopping
axis,noun,B2,,,
backup,noun,B2,,,
backward,adverb,B2,,,
backwards,adverb,B2,,,
backyard,noun,B2,Objects and rooms,,"House and home, environment"
badge,noun,B2,,,
bad-tempered,adjective,B2,,,
balance,verb,B2,,,
balanced,adjective,B2,,,
balky,adjective,B2,,,
ballad,noun,B2,Arts,,"Free time, entertainment"
ballet,noun,B2,Arts,Hobbies and pastimes,"Free time, entertainment"
ballot,noun,B2,,,
ban,noun,B2,"News, lifestyles and current affairs",,
ban,verb,B2,,,
banker,noun,B2,Work and jobs,,Personal identification
bankrupt,verb,B2,,,
bankruptcy,noun,B2,"News, lifestyles and current affairs",,
barbershop,noun,B2,"Things in the town, shops and shopping",,"House and home, environment"
bare,verb,B2,,,
bargain,verb,B2,,,
bark,verb,B2,,,
barley,noun,B2,Food and drink,,Food and drink
barn,noun,B2,Objects and rooms,,"House and home, environment"
barometer,noun,B2,Education,,
barren,adjective,B2,,,
barrier,noun,B2,"News, lifestyles and current affairs",,
bartender,noun,B2,Work and jobs,,Personal identification
bathhouse,noun,B2,"Things in the town, shops and shopping",,"House and home, environment"
battlefield,noun,B2,"News, lifestyles and current affairs",,
beagle,noun,B2,,,
beak,noun,B2,,,
beam,noun,B2,,,
bearing,noun,B2,,,
beat,noun,B2,,,
beautify,verb,B2,,,
bellow,verb,B2,,,
belongings,noun,B2,,,
bend,noun,B2,,,
beneficial,adjective,B2,,,
benefit,verb,B2,,,
benevolence,noun,B2,,,
benevolent,adjective,B2,,,
berry,noun,B2,,,Food and drink
bestow,verb,B2,,,
bestseller,noun,B2,,,
betray,verb,B2,,,
bewilder,verb,B2,,,
bewilderment,noun,B2,,,
bid,verb,B2,,,
bidding,noun,B2,Work and jobs,,
bikini,noun,B2,,,Shopping
billion,noun,B2,,,
bind,verb,B2,,,
bio,noun,B2,Education,,
biological,adjective,B2,,,
biotechnology,noun,B2,Education,Work and jobs,
birdcage,noun,B2,Objects and rooms,,"House and home, environment"
birthplace,noun,B2,Personal information,,Personal identification
bitterly,adverb,B2,,,
bizarre,adjective,B2,,,
blade,noun,B2,,,
blast,noun,B2,"News, lifestyles and current affairs",,
blast,verb,B2,,,
blaze,noun,B2,,,
blaze,verb,B2,,,
blend,noun,B2,,,
blindly,adverb,B2,,,
blindness,noun,B2,,,
blink,verb,B2,,,
bloodstream,noun,B2,,,
bloody,adjective,B2,,,
bloody,adverb,B2,,,
blooming,adjective,B2,,,
blossom,noun,B2,"Things in the town, shops and shopping",,
blur,verb,B2,,,
blurt,noun,B2,,,
blush,verb,B2,,,
boiling,adjective,B2,,,
bold,noun,B2,,,
bolt,noun,B2,,,
bolt,verb,B2,,,
bombard,noun,B2,Education,,
bomber,noun,B2,"News, lifestyles and current affairs",,Relations with other people
bombing,noun,B2,,,
bony,adjective,B2,,,
bookish,adjective,B2,,,
booklet,noun,B2,,,
bookmark,noun,B2,,,
bookmark,verb,B2,,,
boost,noun,B2,,,
boost,verb,B2,,,
booth,noun,B2,Objects and rooms,,
bossy,adjective,B2,,,
botany,noun,B2,Education,,
bothered,adjective,B2,,,
bothersome,adjective,B2,,,
bottle,verb,B2,,,
bounce,noun,B2,,,
bourbon,noun,B2,Food and drink,,Food and drink
bow,verb,B2,,,
boxer,noun,B2,Work and jobs,Hobbies and pastimes,Personal identification
bracket,noun,B2,,,
brag,noun,B2,,,
brake,verb,B2,,,
bravery,noun,B2,,,
breakable,adjective,B2,,,
breakdown,noun,B2,,,
breakup,noun,B2,,,
breathtaking,adjective,B2,,,
breed,noun,B2,,,
breezy,adjective,B2,,,
brewery,noun,B2,"Things in the town, shops and shopping",,"House and home, environment"
brilliantly,adverb,B2,,,
broadband,noun,B2,,,
broadcast,verb,B2,,,
broadcaster,noun,B2,Work and jobs,Media,Personal identification
broaden,verb,B2,,,
broadly,adverb,B2,,,
brochure,noun,B2,,,
brother-in-law,noun,B2,,,Personal identification
browse,verb,B2,,,
browser,noun,B2,,,
bruise,noun,B2,,,
bud,noun,B2,,,
budget,adjective,B2,,,
bulimia,noun,B2,Technical and legal language,,
bully,verb,B2,,,
bum,noun,B2,,,
bumper,noun,B2,,,
bun,noun,B2,,,Food and drink
burden,verb,B2,,,
burdensome,adjective,B2,,,
bureaucracy,noun,B2,Work and jobs,,
burglary,noun,B2,"News, lifestyles and current affairs",,
burgle,verb,B2,,,
burial,noun,B2,Family life,,Daily life
bustle,verb,B2,,,
bustling,adjective,B2,,,
butcher,verb,B2,,,
buzz,noun,B2,,,
buzz,verb,B2,,,
cabinet,noun,B2,,,"House and home, environment"
cable,noun,B2,,,
calmly,adverb,B2,,,
campaign,noun,B2,,,
candidate,noun,B2,,,
cane,noun,B2,,,
cannonball,noun,B2,,,
canon,noun,B2,Books and literature,,
capability,noun,B2,,,
caption,noun,B2,,,
captive,noun,B2,"News, lifestyles and current affairs",,
caravan,noun,B2,,,
carbon,noun,B2,,,
carbon dioxide,noun,B2,,,
carbon footprint,noun,B2,,,
carbon monoxide,noun,B2,,,
cardboard,noun,B2,,,
cardigan,noun,B2,,,Shopping
carefree,adjective,B2,,,
caring,adjective,B2,,,
carnival,noun,B2,,,"Free time, entertainment"
carpool,noun,B2,,,Travel
carve,verb,B2,,,
cascade,noun,B2,,,"House and home, environment"
cast,noun,B2,,,Personal identification
cast,verb,B2,,,
casually,adverb,B2,,,
catalog,noun,B2,,,Shopping
catalogue,noun,B2,,,Shopping
catalyst,noun,B2,,,
catastrophe,noun,B2,,,
catastrophic,adjective,B2,,,
catchy,adjective,B2,,,
categorisation,noun,B2,,,
categorization,noun,B2,,,
catering,noun,B2,,,
cathedral,noun,B2,"Things in the town, shops and shopping",,"House and home, environment"
cause,noun,B2,,,
cease,verb,B2,,,
ceiling,noun,B2,Objects and rooms,,"House and home, environment"
cellar,noun,B2,Objects and rooms,,Shopping
